"","x"
"1",6
"2",9
"3",4
"4",9
"5",4
"6",6
"7",6
"8",6
"9",6
"10",8
"11",8
"12",7
"13",7
"14",4
"15",6
"16",8
"17",6
"18",5
"19",8
"20",9
"21",6
"22",6
"23",6
"24",4
"25",5
"26",3
"27",9
"28",8
"29",6
"30",8
"31",8
"32",9
"33",4
"34",7
"35",7
"36",9
"37",8
"38",8
"39",4
"40",6
"41",6
"42",9
"43",4
"44",3
"45",6
"46",1
"47",7
"48",8
"49",7
"50",8
"51",4
"52",7
"53",8
"54",8
"55",8
"56",7
"57",9
"58",3
"59",9
"60",1
"61",6
"62",8
"63",9
"64",3
"65",7
"66",7
"67",8
"68",7
"69",3
"70",9
"71",6
"72",6
"73",3
"74",7
"75",7
"76",8
"77",7
"78",8
"79",5
"80",1
"81",8
"82",8
"83",4
"84",4
"85",8
"86",6
"87",8
"88",8
"89",7
"90",9
"91",4
"92",3
"93",7
"94",6
"95",8
"96",4
"97",7
"98",9
"99",8
"100",3
"101",7
"102",3
"103",1
"104",8
"105",5
"106",1
"107",5
"108",7
"109",7
"110",5
"111",4
"112",10
"113",6
"114",1
"115",3
"116",10
"117",7
"118",1
"119",7
"120",3
"121",6
"122",4
"123",6
"124",10
"125",1
"126",5
"127",8
"128",7
"129",1
"130",7
"131",1
"132",7
"133",8
"134",6
"135",9
"136",4
"137",6
"138",7
"139",4
"140",9
"141",7
"142",7
"143",7
"144",6
"145",3
"146",4
"147",2
"148",2
"149",7
"150",1
"151",9
"152",6
"153",9
"154",1
"155",9
"156",4
"157",3
"158",7
"159",8
"160",10
"161",4
"162",9
"163",7
"164",7
"165",9
"166",4
"167",4
"168",1
"169",2
"170",7
"171",7
"172",6
"173",6
"174",1
"175",9
"176",8
"177",1
"178",4
"179",2
"180",7
"181",2
"182",3
"183",8
"184",8
"185",8
"186",7
"187",3
"188",3
"189",4
"190",7
"191",6
"192",8
"193",8
"194",9
"195",5
"196",7
"197",1
"198",1
"199",1
"200",9
"201",8
"202",9
"203",3
"204",3
"205",4
"206",7
"207",5
"208",3
"209",1
"210",8
"211",1
"212",4
"213",7
"214",7
"215",9
"216",2
"217",4
"218",6
"219",7
"220",4
"221",8
"222",5
"223",7
"224",7
"225",4
"226",4
"227",8
"228",4
"229",6
"230",6
"231",4
"232",9
"233",3
"234",5
"235",3
"236",8
"237",5
"238",8
"239",8
"240",7
"241",6
"242",4
"243",1
"244",9
"245",4
"246",4
"247",1
"248",1
"249",9
"250",9
"251",3
"252",7
"253",5
"254",4
"255",8
"256",8
"257",7
"258",8
"259",7
"260",8
"261",8
"262",8
"263",10
"264",8
"265",6
"266",8
"267",9
"268",1
"269",8
"270",6
"271",9
"272",8
"273",8
"274",8
"275",3
"276",3
"277",8
"278",6
"279",9
"280",4
"281",4
"282",6
"283",6
"284",9
"285",6
"286",4
"287",9
"288",9
"289",8
"290",9
"291",5
"292",6
"293",9
"294",9
"295",3
"296",7
"297",8
"298",8
"299",8
"300",8
"301",8
"302",6
"303",9
"304",9
"305",8
"306",9
"307",8
"308",3
"309",6
"310",6
"311",7
"312",3
"313",9
"314",6
"315",6
"316",6
"317",9
"318",6
"319",7
"320",8
"321",6
"322",9
"323",3
"324",9
"325",3
"326",7
"327",3
"328",8
"329",8
"330",2
"331",9
"332",3
"333",5
"334",8
"335",7
"336",9
"337",7
"338",7
"339",6
"340",7
"341",4
"342",1
"343",9
"344",1
"345",8
"346",3
"347",6
"348",8
"349",8
"350",7
"351",7
"352",2
"353",6
"354",8
"355",3
"356",10
"357",7
"358",8
"359",7
"360",8
"361",7
"362",4
"363",4
"364",7
"365",10
"366",1
"367",6
"368",7
"369",2
"370",5
"371",1
"372",3
"373",6
"374",7
"375",6
"376",10
"377",9
"378",1
"379",3
"380",7
"381",7
"382",4
"383",10
"384",7
"385",6
"386",7
"387",8
"388",2
"389",6
"390",4
"391",5
"392",7
"393",7
"394",9
"395",1
"396",3
"397",6
"398",4
"399",7
"400",4
"401",3
"402",7
"403",7
"404",8
"405",4
"406",1
"407",9
"408",2
"409",3
"410",7
"411",1
"412",4
"413",8
"414",7
"415",4
"416",3
"417",1
"418",8
"419",10
"420",5
"421",9
"422",6
"423",1
"424",6
"425",6
"426",7
"427",4
"428",9
"429",7
"430",9
"431",4
"432",4
"433",7
"434",7
"435",3
"436",7
"437",4
"438",7
"439",4
"440",7
"441",4
"442",8
"443",1
"444",5
"445",8
"446",6
"447",3
"448",8
"449",2
"450",7
"451",7
"452",7
"453",7
"454",1
"455",1
"456",3
"457",7
"458",9
"459",6
"460",3
"461",1
"462",2
"463",10
"464",1
"465",4
"466",7
"467",1
"468",7
"469",1
"470",7
"471",9
"472",7
"473",7
"474",1
"475",4
"476",7
"477",3
"478",10
"479",3
"480",7
"481",7
"482",9
"483",3
"484",2
"485",6
"486",2
"487",4
"488",6
"489",5
"490",4
"491",1
"492",6
"493",1
"494",5
"495",4
"496",8
"497",9
"498",6
"499",7
"500",3
"501",2
"502",2
"503",4
"504",5
"505",1
"506",4
"507",6
"508",4
"509",1
"510",9
"511",8
"512",1
"513",1
"514",1
"515",6
"516",3
"517",4
"518",4
"519",1
"520",4
"521",4
"522",5
"523",1
"524",4
"525",3
"526",4
"527",8
"528",9
"529",6
"530",4
"531",1
"532",4
"533",7
"534",8
"535",3
"536",3
"537",9
"538",4
"539",4
"540",4
"541",6
"542",6
"543",3
"544",7
"545",1
"546",5
"547",4
"548",8
"549",10
"550",1
"551",4
"552",7
"553",6
"554",6
"555",1
"556",8
"557",8
"558",9
"559",8
"560",8
"561",8
"562",8
"563",8
"564",5
"565",4
"566",3
"567",8
"568",3
"569",6
"570",6
"571",9
"572",4
"573",4
"574",3
"575",7
"576",8
"577",6
"578",8
"579",9
"580",9
"581",8
"582",9
"583",8
"584",9
"585",8
"586",6
"587",9
"588",4
"589",4
"590",6
"591",1
"592",4
"593",9
"594",4
"595",5
"596",9
"597",8
"598",3
"599",9
"600",6
"601",9
"602",8
"603",8
"604",8
"605",8
"606",4
"607",7
"608",7
"609",8
"610",3
"611",3
"612",4
"613",4
"614",9
"615",6
"616",1
"617",7
"618",4
"619",1
"620",1
"621",7
"622",3
"623",3
"624",8
"625",5
"626",7
"627",7
"628",6
"629",7
"630",1
"631",9
"632",8
"633",7
"634",6
"635",8
"636",7
"637",7
"638",8
"639",8
"640",8
"641",8
"642",7
"643",7
"644",8
"645",7
"646",5
"647",10
"648",7
"649",6
"650",8
"651",6
"652",7
"653",5
"654",8
"655",9
"656",4
"657",8
"658",8
"659",9
"660",1
"661",7
"662",7
"663",5
"664",3
"665",10
"666",7
"667",9
"668",6
"669",3
"670",1
"671",4
"672",3
"673",7
"674",1
"675",6
"676",1
"677",4
"678",6
"679",6
"680",1
"681",7
"682",4
"683",7
"684",3
"685",7
"686",7
"687",8
"688",1
"689",4
"690",1
"691",4
"692",7
"693",3
"694",4
"695",9
"696",3
"697",7
"698",7
"699",7
"700",7
"701",4
"702",8
"703",7
"704",4
"705",7
"706",1
"707",7
"708",7
"709",2
"710",7
"711",7
"712",4
"713",8
"714",1
"715",1
"716",5
"717",8
"718",4
"719",7
"720",7
"721",6
"722",9
"723",7
"724",8
"725",9
"726",8
"727",1
"728",7
"729",8
"730",4
"731",3
"732",9
"733",1
"734",8
"735",9
"736",4
"737",5
"738",3
"739",7
"740",1
"741",4
"742",9
"743",9
"744",1
"745",4
"746",7
"747",8
"748",8
"749",7
"750",7
"751",7
"752",3
"753",9
"754",7
"755",10
"756",1
"757",2
"758",8
"759",1
"760",7
"761",1
"762",6
"763",6
"764",6
"765",9
"766",1
"767",1
"768",9
"769",7
"770",10
"771",5
"772",9
"773",7
"774",2
"775",9
"776",4
"777",8
"778",6
"779",7
"780",1
"781",1
"782",8
"783",9
"784",5
"785",9
"786",9
"787",1
"788",9
"789",9
"790",10
"791",4
"792",6
"793",10
"794",7
"795",7
"796",9
"797",8
"798",6
"799",8
"800",8
"801",6
"802",9
"803",9
"804",8
"805",8
"806",7
"807",9
"808",8
"809",9
"810",1
"811",9
"812",8
"813",4
"814",4
"815",9
"816",3
"817",9
"818",10
"819",8
"820",9
"821",3
"822",9
