"","x"
"1",8
"2",9
"3",4
"4",9
"5",4
"6",8
"7",8
"8",8
"9",8
"10",5
"11",5
"12",1
"13",1
"14",4
"15",8
"16",5
"17",8
"18",6
"19",5
"20",9
"21",8
"22",8
"23",8
"24",4
"25",6
"26",3
"27",9
"28",5
"29",8
"30",5
"31",5
"32",9
"33",4
"34",1
"35",1
"36",9
"37",5
"38",5
"39",4
"40",8
"41",8
"42",9
"43",4
"44",3
"45",8
"46",1
"47",4
"48",5
"49",10
"50",5
"51",10
"52",1
"53",5
"54",5
"55",5
"56",1
"57",9
"58",3
"59",9
"60",1
"61",8
"62",5
"63",9
"64",3
"65",1
"66",1
"67",5
"68",1
"69",3
"70",9
"71",8
"72",8
"73",3
"74",1
"75",1
"76",5
"77",1
"78",5
"79",6
"80",1
"81",5
"82",5
"83",4
"84",4
"85",5
"86",8
"87",5
"88",5
"89",1
"90",9
"91",4
"92",3
"93",1
"94",8
"95",9
"96",4
"97",1
"98",9
"99",5
"100",3
"101",1
"102",3
"103",1
"104",5
"105",6
"106",1
"107",6
"108",1
"109",1
"110",6
"111",4
"112",2
"113",8
"114",1
"115",3
"116",2
"117",1
"118",1
"119",1
"120",3
"121",8
"122",4
"123",8
"124",2
"125",1
"126",6
"127",5
"128",1
"129",1
"130",1
"131",1
"132",1
"133",5
"134",8
"135",9
"136",4
"137",8
"138",1
"139",4
"140",9
"141",1
"142",1
"143",1
"144",8
"145",3
"146",4
"147",10
"148",10
"149",1
"150",1
"151",9
"152",8
"153",9
"154",1
"155",9
"156",4
"157",3
"158",1
"159",7
"160",2
"161",4
"162",9
"163",1
"164",1
"165",9
"166",4
"167",10
"168",1
"169",10
"170",1
"171",1
"172",8
"173",8
"174",1
"175",9
"176",5
"177",1
"178",7
"179",10
"180",1
"181",10
"182",3
"183",5
"184",5
"185",7
"186",4
"187",3
"188",3
"189",4
"190",1
"191",8
"192",5
"193",7
"194",9
"195",6
"196",1
"197",1
"198",1
"199",1
"200",9
"201",7
"202",9
"203",3
"204",3
"205",4
"206",1
"207",6
"208",3
"209",1
"210",7
"211",1
"212",4
"213",1
"214",1
"215",9
"216",10
"217",4
"218",8
"219",1
"220",4
"221",9
"222",6
"223",1
"224",1
"225",4
"226",4
"227",5
"228",10
"229",8
"230",8
"231",4
"232",9
"233",3
"234",6
"235",3
"236",5
"237",6
"238",5
"239",7
"240",1
"241",8
"242",4
"243",1
"244",9
"245",4
"246",4
"247",1
"248",1
"249",9
"250",9
"251",3
"252",10
"253",6
"254",4
"255",7
"256",7
"257",1
"258",5
"259",1
"260",7
"261",7
"262",7
"263",2
"264",5
"265",8
"266",5
"267",9
"268",1
"269",7
"270",8
"271",9
"272",7
"273",9
"274",5
"275",3
"276",3
"277",7
"278",8
"279",9
"280",4
"281",4
"282",8
"283",8
"284",9
"285",8
"286",4
"287",6
"288",9
"289",5
"290",9
"291",6
"292",8
"293",9
"294",9
"295",3
"296",1
"297",5
"298",5
"299",5
"300",5
"301",5
"302",8
"303",9
"304",9
"305",5
"306",9
"307",5
"308",3
"309",8
"310",8
"311",10
"312",3
"313",9
"314",8
"315",8
"316",8
"317",9
"318",8
"319",1
"320",5
"321",8
"322",9
"323",3
"324",9
"325",3
"326",1
"327",3
"328",5
"329",5
"330",10
"331",9
"332",3
"333",6
"334",5
"335",1
"336",9
"337",1
"338",1
"339",8
"340",1
"341",4
"342",1
"343",9
"344",1
"345",5
"346",3
"347",8
"348",5
"349",5
"350",1
"351",1
"352",10
"353",8
"354",5
"355",3
"356",2
"357",1
"358",5
"359",1
"360",5
"361",1
"362",4
"363",4
"364",1
"365",2
"366",1
"367",8
"368",1
"369",10
"370",6
"371",1
"372",3
"373",8
"374",1
"375",8
"376",2
"377",9
"378",1
"379",3
"380",1
"381",1
"382",4
"383",2
"384",1
"385",8
"386",1
"387",5
"388",10
"389",8
"390",4
"391",6
"392",1
"393",1
"394",9
"395",1
"396",3
"397",8
"398",4
"399",1
"400",4
"401",3
"402",1
"403",1
"404",5
"405",10
"406",10
"407",9
"408",10
"409",3
"410",1
"411",1
"412",4
"413",7
"414",1
"415",4
"416",3
"417",10
"418",7
"419",2
"420",6
"421",9
"422",8
"423",1
"424",8
"425",8
"426",1
"427",4
"428",9
"429",1
"430",9
"431",4
"432",4
"433",1
"434",1
"435",3
"436",1
"437",4
"438",1
"439",4
"440",10
"441",4
"442",5
"443",1
"444",6
"445",7
"446",8
"447",3
"448",5
"449",10
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",3
"457",1
"458",9
"459",8
"460",3
"461",1
"462",10
"463",2
"464",1
"465",4
"466",1
"467",1
"468",1
"469",1
"470",1
"471",9
"472",1
"473",1
"474",1
"475",10
"476",1
"477",3
"478",2
"479",3
"480",1
"481",1
"482",9
"483",3
"484",10
"485",8
"486",10
"487",4
"488",8
"489",6
"490",4
"491",1
"492",8
"493",1
"494",6
"495",4
"496",7
"497",9
"498",8
"499",1
"500",3
"501",10
"502",10
"503",4
"504",6
"505",10
"506",4
"507",8
"508",4
"509",1
"510",9
"511",7
"512",1
"513",1
"514",4
"515",8
"516",3
"517",4
"518",4
"519",1
"520",4
"521",4
"522",6
"523",1
"524",10
"525",3
"526",4
"527",7
"528",9
"529",8
"530",4
"531",1
"532",4
"533",1
"534",7
"535",3
"536",3
"537",7
"538",4
"539",4
"540",4
"541",8
"542",8
"543",3
"544",1
"545",10
"546",6
"547",4
"548",7
"549",2
"550",1
"551",4
"552",1
"553",8
"554",8
"555",1
"556",9
"557",7
"558",9
"559",7
"560",7
"561",7
"562",9
"563",7
"564",6
"565",4
"566",3
"567",9
"568",3
"569",8
"570",8
"571",9
"572",4
"573",4
"574",3
"575",1
"576",5
"577",8
"578",5
"579",9
"580",9
"581",5
"582",9
"583",5
"584",9
"585",5
"586",8
"587",9
"588",4
"589",4
"590",8
"591",1
"592",4
"593",9
"594",4
"595",6
"596",9
"597",5
"598",3
"599",9
"600",8
"601",9
"602",5
"603",5
"604",7
"605",5
"606",4
"607",1
"608",1
"609",5
"610",3
"611",3
"612",4
"613",4
"614",9
"615",8
"616",1
"617",10
"618",4
"619",1
"620",1
"621",1
"622",3
"623",3
"624",5
"625",6
"626",1
"627",1
"628",8
"629",1
"630",1
"631",9
"632",5
"633",1
"634",8
"635",5
"636",1
"637",1
"638",5
"639",5
"640",5
"641",5
"642",10
"643",1
"644",5
"645",1
"646",6
"647",2
"648",10
"649",8
"650",5
"651",8
"652",1
"653",6
"654",5
"655",9
"656",4
"657",5
"658",5
"659",9
"660",1
"661",1
"662",10
"663",6
"664",3
"665",2
"666",1
"667",5
"668",8
"669",3
"670",1
"671",4
"672",3
"673",10
"674",1
"675",8
"676",8
"677",4
"678",8
"679",8
"680",1
"681",1
"682",4
"683",1
"684",3
"685",1
"686",10
"687",5
"688",4
"689",4
"690",1
"691",4
"692",1
"693",3
"694",4
"695",9
"696",3
"697",1
"698",10
"699",1
"700",10
"701",4
"702",5
"703",1
"704",4
"705",1
"706",10
"707",1
"708",1
"709",10
"710",1
"711",1
"712",4
"713",7
"714",1
"715",1
"716",6
"717",7
"718",4
"719",1
"720",1
"721",8
"722",9
"723",1
"724",5
"725",9
"726",5
"727",1
"728",1
"729",7
"730",4
"731",3
"732",9
"733",1
"734",5
"735",9
"736",4
"737",6
"738",3
"739",1
"740",1
"741",4
"742",9
"743",9
"744",1
"745",4
"746",1
"747",5
"748",7
"749",1
"750",1
"751",1
"752",3
"753",9
"754",1
"755",2
"756",1
"757",10
"758",5
"759",1
"760",1
"761",1
"762",8
"763",8
"764",8
"765",9
"766",1
"767",1
"768",9
"769",1
"770",2
"771",6
"772",9
"773",1
"774",10
"775",9
"776",4
"777",7
"778",8
"779",1
"780",1
"781",1
"782",7
"783",9
"784",6
"785",7
"786",9
"787",1
"788",9
"789",9
"790",2
"791",4
"792",8
"793",2
"794",1
"795",1
"796",9
"797",5
"798",8
"799",5
"800",5
"801",8
"802",9
"803",9
"804",5
"805",7
"806",1
"807",9
"808",5
"809",9
"810",1
"811",9
"812",7
"813",4
"814",4
"815",9
"816",3
"817",9
"818",2
"819",7
"820",9
"821",3
"822",9
